congress,chamber,rollnumber,icpsr,cast_code,prob
14,House,1,47,1,76.9
14,House,1,84,6,35.4
14,House,1,223,6,44.6
14,House,1,279,6,94.8
14,House,1,332,1,6.8
14,House,1,362,1,85.8
14,House,1,424,1,65.5
14,House,1,505,1,58.6
14,House,1,509,9,26.1
14,House,1,531,6,95.1
14,House,1,630,9,28.2
14,House,1,681,6,64.8
14,House,1,727,6,33.7
14,House,1,729,1,32.9
14,House,1,870,6,93.8
14,House,1,945,6,95.2
14,House,1,992,6,84.9
14,House,1,1036,6,95.8
14,House,1,1080,1,86.8
14,House,1,1099,6,95.6
14,House,1,1175,9,48.5
14,House,1,1301,1,63.8
14,House,1,1323,6,45.9
14,House,1,1389,6,91.9
14,House,1,1407,1,72.2
14,House,1,1418,6,49.8
14,House,1,1485,9,58.2
14,House,1,1528,9,29.4
14,House,1,1632,6,94.1
14,House,1,1662,1,53.0
14,House,1,1703,6,94.3
14,House,1,1727,9,94.3
14,House,1,1768,9,40.5
14,House,1,1770,1,52.5
14,House,1,1810,9,40.9
14,House,1,1825,6,91.1
14,House,1,1835,1,58.0
14,House,1,1853,1,60.5
14,House,1,1969,1,54.4
14,House,1,1972,6,51.7
14,House,1,1994,9,61.2
14,House,1,2056,6,93.9
14,House,1,2164,6,32.5
14,House,1,2172,1,41.9
14,House,1,2183,9,80.9
14,House,1,2242,9,69.7
14,House,1,2284,6,32.0
14,House,1,2343,1,49.8
14,House,1,2357,6,95.9
14,House,1,2527,1,62.4
14,House,1,3147,9,67.2
14,House,1,3281,1,51.0
14,House,1,3287,6,36.4
14,House,1,3504,6,85.6
14,House,1,3552,6,39.0
14,House,1,3624,9,74.6
14,House,1,3648,6,94.3
14,House,1,3652,9,87.5
14,House,1,3691,9,61.6
14,House,1,3820,1,84.8
14,House,1,3856,6,93.5
14,House,1,3906,1,56.6
14,House,1,3927,9,94.2
14,House,1,3933,6,31.0
14,House,1,4006,6,38.2
14,House,1,4044,9,87.9
14,House,1,4052,9,72.7
14,House,1,4206,6,46.8
14,House,1,4304,1,70.0
14,House,1,4350,6,77.0
14,House,1,4394,1,55.2
14,House,1,4577,6,95.7
14,House,1,4694,9,88.8
14,House,1,4712,6,93.3
14,House,1,4740,1,43.2
14,House,1,4811,6,20.4
14,House,1,4823,9,47.4
14,House,1,4827,1,65.8
14,House,1,4858,1,53.7
14,House,1,4934,6,95.5
14,House,1,4964,1,59.0
14,House,1,4988,1,61.0
14,House,1,5195,6,91.9
14,House,1,5205,1,59.0
14,House,1,5234,9,68.0
14,House,1,5256,6,88.2
14,House,1,5275,6,33.4
14,House,1,5448,6,95.0
14,House,1,5503,6,94.3
14,House,1,5645,9,87.8
14,House,1,5795,1,42.1
14,House,1,5801,6,93.9
14,House,1,5815,6,51.2
14,House,1,5837,6,33.8
14,House,1,5846,6,26.1
14,House,1,5861,6,86.9
14,House,1,5892,6,65.4
14,House,1,5993,6,96.0
14,House,1,6052,6,95.9
14,House,1,6115,6,15.2
14,House,1,6189,1,66.8
14,House,1,6290,1,47.7
14,House,1,6332,1,88.1
14,House,1,6337,1,61.5
14,House,1,6462,9,60.1
14,House,1,6528,6,95.0
14,House,1,6539,6,91.0
14,House,1,6582,6,95.5
14,House,1,6653,1,53.9
14,House,1,6746,9,4.8
14,House,1,6802,9,56.3
14,House,1,6865,9,54.5
14,House,1,6866,6,91.1
14,House,1,6905,1,55.4
14,House,1,6981,6,93.1
14,House,1,7083,9,63.9
14,House,1,7212,1,16.5
14,House,1,7427,6,39.3
14,House,1,7428,9,95.4
14,House,1,7463,9,56.1
14,House,1,7464,6,36.3
14,House,1,7469,9,95.3
14,House,1,7486,6,44.2
14,House,1,7539,9,49.4
14,House,1,7575,1,76.4
14,House,1,7723,9,33.2
14,House,1,7789,6,91.2
14,House,1,7831,1,86.6
14,House,1,7860,6,92.4
14,House,1,7937,1,47.4
14,House,1,7966,1,51.1
14,House,1,8056,6,32.9
14,House,1,8071,1,31.5
14,House,1,8110,6,94.8
14,House,1,8231,6,67.7
14,House,1,8256,1,54.1
14,House,1,8365,6,85.5
14,House,1,8407,9,62.1
14,House,1,8428,6,79.8
14,House,1,8602,1,70.4
14,House,1,8686,6,95.8
14,House,1,8748,1,62.4
14,House,1,8837,6,63.9
14,House,1,8859,9,95.9
14,House,1,9036,6,95.6
14,House,1,9055,6,81.8
14,House,1,9063,6,94.9
14,House,1,9154,6,94.9
14,House,1,9169,6,95.3
14,House,1,9185,6,93.8
14,House,1,9190,1,85.0
14,House,1,9217,1,60.9
14,House,1,9222,9,34.6
14,House,1,9245,6,29.3
14,House,1,9295,1,41.0
14,House,1,9364,9,36.3
14,House,1,9437,1,31.3
14,House,1,9497,9,70.4
14,House,1,9689,6,93.0
14,House,1,9764,1,51.4
14,House,1,9809,9,95.8
14,House,1,9817,9,51.7
14,House,1,9821,1,40.9
14,House,1,9903,9,86.4
14,House,1,9951,1,38.4
14,House,1,9983,6,95.6
14,House,1,10062,1,44.0
14,House,1,10101,6,92.9
14,House,1,10105,6,15.5
14,House,1,10117,6,51.3
14,House,1,10170,6,30.5
14,House,1,10207,1,79.9
14,House,1,10254,1,70.2
14,House,1,10257,6,64.4
14,House,1,10354,9,
14,House,1,10363,6,67.1
14,House,1,10396,9,49.3
14,House,1,10409,6,42.7
14,House,1,10417,6,68.2
14,House,1,99872,9,62.9
14,House,2,47,1,97.7
14,House,2,84,1,98.5
14,House,2,223,1,98.6
14,House,2,279,1,75.1
14,House,2,332,1,76.1
14,House,2,362,1,96.4
14,House,2,424,9,88.6
14,House,2,505,1,96.2
14,House,2,509,1,97.5
14,House,2,531,6,45.4
14,House,2,630,9,98.2
14,House,2,681,1,97.3
14,House,2,727,9,98.4
14,House,2,729,1,98.4
14,House,2,870,9,80.8
14,House,2,945,1,52.6
14,House,2,992,9,93.9
14,House,2,1036,6,66.8
14,House,2,1080,1,96.7
14,House,2,1099,6,39.7
14,House,2,1175,9,96.8
14,House,2,1301,1,98.2
14,House,2,1323,1,96.3
14,House,2,1389,6,10.5
14,House,2,1407,1,98.2
14,House,2,1418,1,97.7
14,House,2,1485,9,96.9
14,House,2,1528,9,72.1
14,House,2,1632,1,68.9
14,House,2,1662,1,98.5
14,House,2,1703,9,63.9
14,House,2,1727,1,74.1
14,House,2,1768,9,97.9
14,House,2,1770,1,96.4
14,House,2,1810,9,98.1
14,House,2,1825,1,90.7
14,House,2,1835,1,98.6
14,House,2,1853,1,97.1
14,House,2,1969,9,98.4
14,House,2,1972,1,98.3
14,House,2,1994,1,97.9
14,House,2,2056,9,79.8
14,House,2,2164,1,95.9
14,House,2,2172,1,97.4
14,House,2,2183,9,97.5
14,House,2,2242,1,96.5
14,House,2,2284,1,96.2
14,House,2,2343,1,97.8
14,House,2,2357,1,56.3
14,House,2,2527,1,97.0
14,House,2,3147,9,98.5
14,House,2,3281,1,97.7
14,House,2,3287,6,3.5
14,House,2,3504,1,95.3
14,House,2,3552,1,98.1
14,House,2,3624,9,73.3
14,House,2,3648,1,77.6
14,House,2,3652,9,92.5
14,House,2,3691,9,97.4
14,House,2,3820,1,96.9
14,House,2,3856,6,21.3
14,House,2,3906,1,98.6
14,House,2,3927,9,58.1
14,House,2,3933,1,76.3
14,House,2,4006,1,98.2
14,House,2,4044,9,94.1
14,House,2,4052,9,98.1
14,House,2,4206,1,98.2
14,House,2,4304,1,97.6
14,House,2,4350,1,97.7
14,House,2,4394,1,98.6
14,House,2,4577,1,49.5
14,House,2,4694,1,93.8
14,House,2,4712,1,83.4
14,House,2,4740,1,95.4
14,House,2,4811,9,97.8
14,House,2,4823,9,97.9
14,House,2,4827,9,98.5
14,House,2,4858,9,98.6
14,House,2,4934,1,59.2
14,House,2,4964,1,93.4
14,House,2,4988,1,98.0
14,House,2,5195,1,89.6
14,House,2,5205,1,98.2
14,House,2,5234,9,98.4
14,House,2,5256,6,6.3
14,House,2,5275,1,95.5
14,House,2,5448,1,64.2
14,House,2,5503,6,43.7
14,House,2,5645,9,89.6
14,House,2,5795,1,97.8
14,House,2,5801,1,81.4
14,House,2,5815,1,98.6
14,House,2,5837,9,93.9
14,House,2,5846,1,97.5
14,House,2,5861,1,91.0
14,House,2,5892,1,98.5
14,House,2,5993,9,25.8
14,House,2,6052,6,64.6
14,House,2,6115,1,97.1
14,House,2,6189,1,90.2
14,House,2,6290,1,97.9
14,House,2,6332,1,95.5
14,House,2,6337,1,98.4
14,House,2,6462,9,98.6
14,House,2,6528,1,74.1
14,House,2,6539,6,13.3
14,House,2,6582,1,67.3
14,House,2,6653,1,96.9
14,House,2,6746,1,66.7
14,House,2,6802,9,98.4
14,House,2,6865,9,98.2
14,House,2,6866,1,89.5
14,House,2,6905,1,98.7
14,House,2,6981,1,66.9
14,House,2,7083,9,98.4
14,House,2,7212,1,96.5
14,House,2,7427,1,97.8
14,House,2,7428,9,65.0
14,House,2,7463,9,98.3
14,House,2,7464,1,98.4
14,House,2,7469,9,66.2
14,House,2,7486,1,98.2
14,House,2,7539,9,97.3
14,House,2,7575,1,97.9
14,House,2,7723,9,94.8
14,House,2,7789,9,90.9
14,House,2,7831,1,96.3
14,House,2,7860,6,28.7
14,House,2,7937,1,97.7
14,House,2,7966,9,98.7
14,House,2,8056,1,98.5
14,House,2,8071,1,98.4
14,House,2,8110,1,75.0
14,House,2,8231,1,98.0
14,House,2,8256,1,97.2
14,House,2,8365,1,95.1
14,House,2,8407,9,98.3
14,House,2,8428,1,96.4
