congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
94,President,99905,99,0,USA,200,0,0,"FORD, Gerald Rudolph, Jr.",F000260,1913,2006.0,0.506,-0.746,-90.82072,0.707,262,39,,,
94,House,5058,41,5,AL,100,0,1,"JONES, Robert Emmett, Jr.",J000248,1912,1997.0,-0.358,0.866,-278.08675,0.706,798,125,,-0.368,0.713
94,House,10706,41,6,AL,200,0,1,"BUCHANAN, John Hall, Jr.",B001008,1928,,0.146,-0.118,-409.30621,0.668,1013,213,,0.178,-0.29
94,House,10717,41,2,AL,200,0,1,"DICKINSON, William Louis",D000326,1925,2008.0,0.398,-0.057,-327.33821,0.719,991,139,,0.292,0.277
94,House,10721,41,1,AL,200,0,1,"EDWARDS, William Jackson (Jack)",E000084,1928,,0.177,0.161,-336.23435,0.713,992,152,,0.212,0.08
94,House,11000,41,4,AL,100,0,1,"BEVILL, Tom",B000431,1921,2005.0,-0.213,0.976,-405.56681,0.669,1010,199,,-0.164,0.871
94,House,11037,41,3,AL,100,0,1,"NICHOLS, William Flynt",N000095,1918,1988.0,-0.042,0.872,-336.60099,0.713,993,149,,-0.064,0.782
94,House,12014,41,7,AL,100,0,1,"FLOWERS, Walter",F000218,1933,1984.0,-0.147,0.718,-318.01294,0.713,939,138,,-0.136,0.633
94,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.279,0.012,-410.63697,0.62,859,173,,0.136,0.381
94,House,7845,61,1,AZ,200,0,1,"RHODES, John Jacob",R000188,1916,2003.0,0.225,-0.033,-339.61591,0.691,919,176,,0.279,-0.153
94,House,10566,61,2,AZ,100,0,1,"UDALL, Morris King",U000001,1922,1998.0,-0.387,0.008,-121.08021,0.806,561,53,,-0.484,-0.104
94,House,11050,61,3,AZ,200,0,1,"STEIGER, Sam",S000846,1929,2012.0,0.447,0.246,-179.86778,0.773,698,83,,0.559,0.256
94,House,14011,61,4,AZ,200,0,1,"CONLAN, John Bertrand",C000682,1930,,0.531,0.026,-217.17753,0.747,746,105,,0.553,-0.073
94,House,6532,42,2,AR,100,0,1,"MILLS, Wilbur Daigh",M000778,1909,1992.0,-0.237,0.894,-347.3421,0.65,806,170,,-0.264,0.735
94,House,11020,42,3,AR,200,0,1,"HAMMERSCHMIDT, John Paul",H000124,1922,2015.0,0.253,0.239,-446.98822,0.647,1028,210,,0.187,0.348
94,House,12000,42,1,AR,100,0,1,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1934,,-0.41,0.819,-394.78178,0.654,929,182,,-0.277,0.661
94,House,14058,42,4,AR,100,0,1,"THORNTON, Raymond Hoyt (Ray), Jr.",T000243,1928,2016.0,-0.306,0.635,-376.42311,0.681,981,179,,-0.232,0.62
94,House,4957,71,1,CA,100,0,1,"JOHNSON, Harold Terry",J000135,1907,1988.0,-0.439,0.503,-264.40441,0.775,1037,108,,-0.503,0.616
94,House,6240,71,14,CA,100,0,1,"McFALL, John Joseph",M000436,1918,2006.0,-0.468,0.442,-234.78469,0.797,1037,90,,-0.485,0.506
94,House,6756,71,3,CA,100,0,1,"MOSS, John Emerson",M001035,1915,1997.0,-0.582,0.191,-250.6161,0.768,949,118,,-0.63,0.183
94,House,8549,71,15,CA,100,0,1,"SISK, Bernice Frederic",S000454,1910,1995.0,-0.388,0.52,-261.9436,0.742,877,114,,-0.371,0.612
94,House,10249,71,41,CA,200,0,1,"WILSON, Robert Carlton (Bob)",W000610,1916,1999.0,0.264,-0.265,-406.4783,0.647,932,193,,0.221,-0.19
94,House,10505,71,27,CA,200,0,1,"BELL, Alphonzo",B000330,1914,2004.0,0.183,-0.336,-249.48535,0.684,657,117,,0.234,-0.302
