congress,chamber,rollnumber,icpsr,cast_code,prob
19,Senate,1,495,6,35.4
19,Senate,1,611,1,59.8
19,Senate,1,658,6,95.2
19,Senate,1,669,6,50.6
19,Senate,1,881,1,80.6
19,Senate,1,972,6,94.6
19,Senate,1,1629,9,
19,Senate,1,1635,6,67.9
19,Senate,1,1665,1,85.8
19,Senate,1,1825,1,44.5
19,Senate,1,1873,9,96.0
19,Senate,1,2549,1,65.9
19,Senate,1,2561,6,63.7
19,Senate,1,2828,6,82.8
19,Senate,1,2865,1,66.8
19,Senate,1,3146,6,64.1
19,Senate,1,3423,6,91.9
19,Senate,1,4138,1,81.6
19,Senate,1,4237,6,90.2
19,Senate,1,4320,1,80.8
19,Senate,1,4536,6,48.8
19,Senate,1,4843,6,67.8
19,Senate,1,4988,9,86.4
19,Senate,1,5008,1,54.3
19,Senate,1,5093,1,23.8
19,Senate,1,5275,6,95.0
19,Senate,1,5339,1,66.2
19,Senate,1,5724,6,84.4
19,Senate,1,5726,1,52.9
19,Senate,1,5895,6,97.2
19,Senate,1,5986,6,25.4
19,Senate,1,6274,1,76.2
19,Senate,1,6528,1,52.0
19,Senate,1,6941,1,73.7
19,Senate,1,8087,1,13.8
19,Senate,1,8107,6,20.1
19,Senate,1,8385,1,77.5
19,Senate,1,8678,6,65.3
19,Senate,1,9239,6,92.4
19,Senate,1,9297,1,71.0
19,Senate,1,9595,6,66.4
19,Senate,1,9613,6,56.6
19,Senate,1,10182,6,92.0
19,Senate,2,495,1,89.2
19,Senate,2,611,1,94.0
19,Senate,2,658,1,31.6
19,Senate,2,669,6,33.7
19,Senate,2,881,1,77.2
19,Senate,2,972,6,69.4
19,Senate,2,1629,9,
19,Senate,2,1635,1,72.2
19,Senate,2,1665,1,86.0
19,Senate,2,1825,1,86.0
19,Senate,2,1873,6,85.6
19,Senate,2,2549,1,94.9
19,Senate,2,2561,1,73.1
19,Senate,2,2828,6,52.0
19,Senate,2,2865,1,94.3
19,Senate,2,3146,6,30.0
19,Senate,2,3423,1,35.7
19,Senate,2,4138,1,78.4
19,Senate,2,4237,6,64.4
19,Senate,2,4320,1,77.5
19,Senate,2,4536,1,86.8
19,Senate,2,4843,6,48.4
19,Senate,2,4988,9,48.1
19,Senate,2,5008,1,84.8
19,Senate,2,5093,1,52.0
19,Senate,2,5275,1,34.8
19,Senate,2,5339,1,93.2
19,Senate,2,5724,1,50.2
19,Senate,2,5726,1,91.8
19,Senate,2,5895,6,86.4
19,Senate,2,5986,6,8.1
19,Senate,2,6274,6,10.2
19,Senate,2,6528,1,92.0
19,Senate,2,6941,9,88.1
19,Senate,2,8087,1,47.5
19,Senate,2,8107,1,91.7
19,Senate,2,8385,1,94.7
19,Senate,2,8678,1,69.0
19,Senate,2,9239,6,79.8
19,Senate,2,9297,6,13.2
19,Senate,2,9595,1,72.2
19,Senate,2,9613,1,84.7
19,Senate,2,10182,6,61.9
19,Senate,3,495,6,18.0
19,Senate,3,611,6,56.8
19,Senate,3,658,1,84.4
19,Senate,3,669,1,93.7
19,Senate,3,881,1,94.9
19,Senate,3,972,1,83.6
19,Senate,3,1629,9,
19,Senate,3,1635,6,19.4
19,Senate,3,1665,1,92.7
19,Senate,3,1825,1,58.9
19,Senate,3,1873,1,74.5
19,Senate,3,2549,9,N/A
19,Senate,3,2561,1,87.0
19,Senate,3,2828,1,88.3
19,Senate,3,2865,1,53.7
19,Senate,3,3146,1,90.0
19,Senate,3,3423,1,83.8
19,Senate,3,4138,1,94.8
19,Senate,3,4237,1,80.8
19,Senate,3,4320,1,94.9
19,Senate,3,4536,1,75.2
19,Senate,3,4843,1,87.3
19,Senate,3,4988,9,89.1
19,Senate,3,5008,1,84.3
19,Senate,3,5093,1,90.2
19,Senate,3,5275,6,14.9
19,Senate,3,5339,1,64.8
19,Senate,3,5724,1,84.9
19,Senate,3,5726,1,45.5
19,Senate,3,5895,1,74.1
19,Senate,3,5986,1,79.3
19,Senate,3,6274,1,86.1
19,Senate,3,6528,6,62.5
19,Senate,3,6941,1,88.4
19,Senate,3,8087,1,85.6
19,Senate,3,8107,1,82.0
19,Senate,3,8385,6,47.5
19,Senate,3,8678,6,9.9
19,Senate,3,9239,9,73.9
19,Senate,3,9297,1,89.2
19,Senate,3,9595,1,84.8
19,Senate,3,9613,6,36.1
19,Senate,3,10182,1,86.0
19,Senate,4,495,6,44.6
19,Senate,4,611,6,35.6
19,Senate,4,658,9,88.7
19,Senate,4,669,1,25.5
19,Senate,4,881,1,45.4
19,Senate,4,972,1,12.3
19,Senate,4,1629,9,
19,Senate,4,1635,1,32.0
19,Senate,4,1665,1,62.5
19,Senate,4,1825,6,52.3
19,Senate,4,1873,6,85.8
19,Senate,4,2549,1,76.3
19,Senate,4,2561,6,69.1
19,Senate,4,2828,6,86.5
19,Senate,4,2865,1,68.5
19,Senate,4,3146,6,72.3
19,Senate,4,3423,1,14.4
19,Senate,4,4138,1,47.4
19,Senate,4,4237,6,83.2
19,Senate,4,4320,6,54.2
19,Senate,4,4536,1,48.2
19,Senate,4,4843,6,83.2
19,Senate,4,4988,9,85.2
19,Senate,4,5008,6,54.5
19,Senate,4,5093,6,84.8
19,Senate,4,5275,6,89.3
19,Senate,4,5339,1,64.7
19,Senate,4,5724,6,80.9
19,Senate,4,5726,1,57.7
19,Senate,4,5895,6,86.8
19,Senate,4,5986,6,33.8
19,Senate,4,6274,1,62.4
19,Senate,4,6528,1,58.2
19,Senate,4,6941,1,57.5
19,Senate,4,8087,6,82.4
19,Senate,4,8107,1,69.7
19,Senate,4,8385,1,78.9
19,Senate,4,8678,6,73.1
19,Senate,4,9239,9,82.9
19,Senate,4,9297,6,46.1
19,Senate,4,9595,1,30.8
19,Senate,4,9613,6,54.3
19,Senate,4,10182,6,86.8
19,Senate,5,495,1,40.6
19,Senate,5,611,6,29.6
19,Senate,5,658,1,8.7
19,Senate,5,669,6,79.5
19,Senate,5,881,6,70.3
19,Senate,5,972,6,92.4
19,Senate,5,1629,9,
19,Senate,5,1635,6,79.9
19,Senate,5,1665,1,39.0
19,Senate,5,1825,1,44.8
19,Senate,5,1873,6,94.5
19,Senate,5,2549,6,10.4
19,Senate,5,2561,6,80.8
19,Senate,5,2828,6,80.9
19,Senate,5,2865,1,67.2
19,Senate,5,3146,1,17.4
19,Senate,5,3423,6,92.3
19,Senate,5,4138,1,30.5
19,Senate,5,4237,6,92.4
19,Senate,5,4320,6,70.1
19,Senate,5,4536,6,62.4
19,Senate,5,4843,1,25.7
19,Senate,5,4988,9,88.8
19,Senate,5,5008,6,68.6
19,Senate,5,5093,6,81.2
19,Senate,5,5275,6,88.8
19,Senate,5,5339,1,58.2
19,Senate,5,5724,6,89.7
19,Senate,5,5726,6,36.4
19,Senate,5,5895,6,93.7
19,Senate,5,5986,9,49.3
19,Senate,5,6274,9,56.5
19,Senate,5,6528,1,69.3
19,Senate,5,6941,6,61.4
19,Senate,5,8087,6,90.3
19,Senate,5,8107,6,48.6
19,Senate,5,8385,1,73.5
19,Senate,5,8678,6,83.1
19,Senate,5,9239,6,94.2
19,Senate,5,9297,6,64.4
19,Senate,5,9595,6,81.0
19,Senate,5,9613,1,39.9
19,Senate,5,10182,6,91.4
19,Senate,6,495,1,40.6
19,Senate,6,611,6,29.6
19,Senate,6,658,1,8.7
19,Senate,6,669,6,79.5
19,Senate,6,881,6,70.3
19,Senate,6,972,6,92.4
19,Senate,6,1629,9,
19,Senate,6,1635,6,79.9
19,Senate,6,1665,1,39.0
19,Senate,6,1825,1,44.8
19,Senate,6,1873,6,94.5
19,Senate,6,2549,6,10.4
19,Senate,6,2561,6,80.8
19,Senate,6,2828,6,80.9
19,Senate,6,2865,1,67.2
19,Senate,6,3146,1,17.4
19,Senate,6,3423,6,92.3
19,Senate,6,4138,1,30.5
19,Senate,6,4237,6,92.4
19,Senate,6,4320,6,70.1
19,Senate,6,4536,6,62.4
19,Senate,6,4843,1,25.7
19,Senate,6,4988,9,88.8
19,Senate,6,5008,6,68.6
19,Senate,6,5093,6,81.2
19,Senate,6,5275,6,88.8
19,Senate,6,5339,1,58.2
19,Senate,6,5724,6,89.7
19,Senate,6,5726,6,36.4
19,Senate,6,5895,6,93.7
19,Senate,6,5986,9,49.3
19,Senate,6,6274,9,56.5
19,Senate,6,6528,1,69.3
19,Senate,6,6941,6,61.4
19,Senate,6,8087,6,90.3
19,Senate,6,8107,6,48.6
19,Senate,6,8385,1,73.5
19,Senate,6,8678,6,83.1
19,Senate,6,9239,6,94.2
19,Senate,6,9297,6,64.4
19,Senate,6,9595,6,81.0
19,Senate,6,9613,1,39.9
19,Senate,6,10182,6,91.4
19,Senate,7,495,6,
19,Senate,7,611,6,
19,Senate,7,658,6,
19,Senate,7,669,6,
19,Senate,7,881,6,
19,Senate,7,972,6,
19,Senate,7,1629,9,
19,Senate,7,1635,6,
19,Senate,7,1665,6,
19,Senate,7,1825,6,
19,Senate,7,1873,6,
19,Senate,7,2549,6,
19,Senate,7,2561,6,
19,Senate,7,2828,6,
19,Senate,7,2865,6,
19,Senate,7,3146,6,
19,Senate,7,3423,6,
19,Senate,7,4138,6,
19,Senate,7,4237,6,
19,Senate,7,4320,6,
19,Senate,7,4536,6,
19,Senate,7,4843,6,
19,Senate,7,4988,9,
19,Senate,7,5008,6,
19,Senate,7,5093,6,
19,Senate,7,5275,6,
19,Senate,7,5339,6,
19,Senate,7,5724,6,
19,Senate,7,5726,6,
19,Senate,7,5895,6,
19,Senate,7,5986,9,
19,Senate,7,6274,9,
19,Senate,7,6528,6,
19,Senate,7,6941,6,
19,Senate,7,8087,6,
19,Senate,7,8107,6,
19,Senate,7,8385,6,
19,Senate,7,8678,6,
19,Senate,7,9239,6,
19,Senate,7,9297,6,
19,Senate,7,9595,6,
19,Senate,7,9613,6,
19,Senate,7,10182,6,
19,Senate,8,495,1,84.5
19,Senate,8,611,1,62.6
19,Senate,8,658,1,42.3
19,Senate,8,669,9,N/A
19,Senate,8,881,9,90.2
19,Senate,8,972,6,63.3
19,Senate,8,1629,9,
19,Senate,8,1635,6,60.5
