congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
24,President,99875,99,0,USA,555,,,"JACKSON, Andrew",J000005,1767.0,1845.0,-0.25,-0.098,,,,,,,
24,Senate,5275,41,0,AL,555,0,3,"KING, William Rufus de Vane",K000217,1786.0,1853.0,-0.373,-0.088,-143.82126,0.688,385,75,,-0.325,-0.197
24,Senate,6632,41,0,AL,1275,0,3,"MOORE, Gabriel",M000898,1785.0,1845.0,-0.108,-0.157,-180.23149,0.542,294,102,,-0.113,-0.6
24,Senate,3411,42,0,AR,555,0,3,"FULTON, William Savin",F000425,1795.0,1844.0,-0.608,0.433,-33.81524,0.823,174,10,,-0.611,0.58
24,Senate,8373,42,0,AR,555,0,3,"SEVIER, Ambrose Hundley",S000256,1801.0,1848.0,-0.636,0.528,-51.30545,0.729,162,14,,-0.479,0.878
24,Senate,6931,1,0,CT,555,0,5,"NILES, John Milton",N000108,1787.0,1856.0,-0.272,-0.525,-180.07309,0.604,357,79,,-0.421,-0.298
24,Senate,8670,1,0,CT,1275,5,3,"SMITH, Nathan",S000594,1770.0,1835.0,0.45,-0.017,,,,,,,
24,Senate,9411,1,0,CT,1275,0,3,"TOMLINSON, Gideon",T000300,1780.0,1854.0,0.384,0.064,-67.65686,0.813,327,28,,0.324,0.154
24,Senate,527,11,0,DE,1275,2,3,"BAYARD, Richard Henry",B000251,1796.0,1868.0,0.113,0.385,-47.34208,0.756,169,20,,0.167,0.48
24,Senate,1822,11,0,DE,1275,1,3,"CLAYTON, John Middleton",C000496,1796.0,1856.0,0.395,0.883,-22.27561,0.806,103,7,,0.377,0.864
24,Senate,1825,11,0,DE,1275,2,3,"CLAYTON, Thomas",C000499,1777.0,1854.0,0.442,-0.271,-43.40947,0.707,125,24,,0.164,-0.14
24,Senate,6846,11,0,DE,1275,1,3,"NAUDAIN, Arnold",N000010,1790.0,1872.0,0.606,0.337,-18.81675,0.875,141,6,,0.767,0.117
24,Senate,2284,44,0,GA,555,0,3,"CUTHBERT, Alfred",C001023,1785.0,1856.0,-0.338,0.002,-106.26727,0.707,307,54,,-0.33,0.053
24,Senate,5266,44,0,GA,555,0,3,"KING, John Pendleton",K000207,1799.0,1888.0,-0.274,-0.76,-155.17584,0.638,345,68,,-0.281,-0.902
24,Senate,3043,21,0,IL,555,2,3,"EWING, William Lee Davidson",E000283,1795.0,1846.0,-0.375,0.927,-78.60437,0.776,310,35,,-0.431,0.902
24,Senate,5093,21,0,IL,555,1,3,"KANE, Elias Kent",K000006,1794.0,1835.0,-0.359,0.552,,,,,,,
24,Senate,7983,21,0,IL,555,0,3,"ROBINSON, John McCracken",R000344,1794.0,1843.0,-0.67,0.742,-122.51244,0.723,377,53,,-0.48,0.877
24,Senate,4320,22,0,IN,1275,0,3,"HENDRICKS, William",H000494,1782.0,1850.0,0.001,1.0,-154.04674,0.651,359,78,,-0.061,0.998
24,Senate,9396,22,0,IN,555,0,3,"TIPTON, John",T000284,1786.0,1839.0,-0.161,0.987,-112.65564,0.664,275,56,,-0.151,0.989
24,Senate,1810,51,0,KY,1275,0,3,"CLAY, Henry",C000482,1777.0,1852.0,0.262,0.547,-74.76066,0.764,278,31,,0.391,0.179
24,Senate,2181,51,0,KY,1275,0,3,"CRITTENDEN, John Jordan",C000912,1786.0,1863.0,0.03,0.669,-118.53203,0.674,301,56,,0.347,0.28
