congress,chamber,rollnumber,icpsr,cast_code,prob
1,Senate,1,507,1,90.4
1,Senate,1,1346,6,48.6
1,Senate,1,1536,1,99.8
1,Senate,1,2307,1,100.0
1,Senate,1,2936,1,99.7
1,Senate,1,2943,1,99.9
1,Senate,1,3128,1,19.4
1,Senate,1,3771,6,
1,Senate,1,3877,1,99.8
1,Senate,1,4333,1,98.8
1,Senate,1,4837,1,100.0
1,Senate,1,4998,1,100.0
1,Senate,1,5449,6,93.3
1,Senate,1,5565,6,64.2
1,Senate,1,5891,6,99.6
1,Senate,1,6712,1,100.0
1,Senate,1,7231,1,100.0
1,Senate,1,7762,1,99.8
1,Senate,1,9028,1,99.8
1,Senate,1,10272,6,97.7
1,Senate,2,507,6,61.7
1,Senate,2,1346,9,91.4
1,Senate,2,1536,6,56.7
1,Senate,2,2307,6,90.5
1,Senate,2,2936,9,94.9
1,Senate,2,2943,6,86.0
1,Senate,2,3128,1,95.2
1,Senate,2,3771,1,
1,Senate,2,3877,1,50.2
1,Senate,2,4333,6,48.4
1,Senate,2,4837,1,31.0
1,Senate,2,4998,1,21.3
1,Senate,2,5449,1,88.2
1,Senate,2,5565,1,91.9
1,Senate,2,5891,1,96.4
1,Senate,2,6712,6,70.5
1,Senate,2,7231,6,81.6
1,Senate,2,7762,6,70.5
1,Senate,2,9028,6,94.9
1,Senate,2,10272,1,18.8
1,Senate,3,507,1,62.1
1,Senate,3,1346,9,92.2
1,Senate,3,1536,1,56.9
1,Senate,3,2307,1,91.2
1,Senate,3,2936,1,95.5
1,Senate,3,2943,1,86.8
1,Senate,3,3128,6,95.8
1,Senate,3,3771,6,
1,Senate,3,3877,6,50.3
1,Senate,3,4333,1,48.3
1,Senate,3,4837,6,30.5
1,Senate,3,4998,6,20.6
1,Senate,3,5449,6,89.0
1,Senate,3,5565,6,92.7
1,Senate,3,5891,6,96.9
1,Senate,3,6712,1,71.0
1,Senate,3,7231,1,82.4
1,Senate,3,7762,1,71.1
1,Senate,3,9028,1,95.4
1,Senate,3,10272,6,17.8
1,Senate,4,507,9,57.9
1,Senate,4,1346,1,93.2
1,Senate,4,1536,6,54.9
1,Senate,4,2307,6,93.1
1,Senate,4,2936,6,96.2
1,Senate,4,2943,6,87.0
1,Senate,4,3128,1,96.7
1,Senate,4,3771,1,
1,Senate,4,3877,1,52.1
1,Senate,4,4333,6,45.2
1,Senate,4,4837,1,30.4
1,Senate,4,4998,1,17.5
1,Senate,4,5270,6,80.2
1,Senate,4,5449,1,92.0
1,Senate,4,5565,1,94.1
1,Senate,4,5891,9,97.7
1,Senate,4,6712,6,72.6
1,Senate,4,7231,9,85.3
1,Senate,4,7762,6,69.8
1,Senate,4,8282,6,76.9
1,Senate,4,9028,6,96.3
1,Senate,4,10272,1,22.9
1,Senate,5,507,9,59.2
1,Senate,5,1346,1,91.5
1,Senate,5,1536,6,56.5
1,Senate,5,2307,6,92.3
1,Senate,5,2936,6,95.5
1,Senate,5,2943,6,86.5
1,Senate,5,3128,1,95.5
1,Senate,5,3771,1,
1,Senate,5,3877,1,50.2
1,Senate,5,4333,6,47.4
1,Senate,5,4837,1,30.0
1,Senate,5,4998,1,18.5
1,Senate,5,5270,6,79.9
1,Senate,5,5449,1,90.3
1,Senate,5,5565,9,92.5
1,Senate,5,5891,9,97.1
1,Senate,5,6712,6,72.4
1,Senate,5,7231,9,84.3
1,Senate,5,7762,6,70.3
1,Senate,5,8282,6,76.2
1,Senate,5,9028,6,95.6
1,Senate,5,10272,1,23.7
1,Senate,6,507,9,93.4
1,Senate,6,1346,6,99.8
1,Senate,6,1536,1,66.0
1,Senate,6,2307,1,95.5
1,Senate,6,2936,1,99.7
1,Senate,6,2943,1,97.1
1,Senate,6,3128,6,99.6
1,Senate,6,3771,9,
1,Senate,6,3877,6,49.6
1,Senate,6,4333,1,60.6
1,Senate,6,4837,6,26.2
1,Senate,6,4998,1,77.5
1,Senate,6,5270,1,82.8
1,Senate,6,5449,1,50.5
1,Senate,6,5565,6,98.2
1,Senate,6,5891,6,71.3
1,Senate,6,6712,6,31.4
1,Senate,6,7231,9,81.9
1,Senate,6,7762,1,87.2
1,Senate,6,8282,1,70.3
1,Senate,6,9028,1,99.6
1,Senate,6,10272,1,100.0
1,Senate,7,507,1,38.8
1,Senate,7,1346,6,82.5
1,Senate,7,1536,1,73.0
1,Senate,7,2307,6,35.8
1,Senate,7,2936,1,54.4
1,Senate,7,2943,1,62.1
1,Senate,7,3128,6,92.7
1,Senate,7,3771,9,
1,Senate,7,3877,6,20.8
1,Senate,7,4333,1,61.2
1,Senate,7,4837,6,16.7
1,Senate,7,4998,6,28.1
1,Senate,7,5270,1,80.6
1,Senate,7,5449,6,92.3
1,Senate,7,5565,6,88.1
1,Senate,7,5891,6,94.2
1,Senate,7,6712,1,87.8
1,Senate,7,7231,1,70.1
1,Senate,7,7762,1,65.1
1,Senate,7,8282,1,79.5
1,Senate,7,9028,9,55.6
1,Senate,7,10272,6,80.0
1,Senate,8,507,1,76.0
1,Senate,8,1346,1,99.7
1,Senate,8,1536,6,12.4
1,Senate,8,2307,1,52.9
1,Senate,8,2936,1,50.8
1,Senate,8,2943,6,35.7
1,Senate,8,3128,1,95.4
1,Senate,8,3771,9,
1,Senate,8,3877,1,91.3
1,Senate,8,4333,1,90.9
1,Senate,8,4837,1,77.3
1,Senate,8,4998,1,53.9
1,Senate,8,5270,1,67.7
1,Senate,8,5449,9,64.3
1,Senate,8,5565,1,97.5
1,Senate,8,5891,6,92.9
1,Senate,8,6712,1,66.2
1,Senate,8,7231,6,46.4
1,Senate,8,7762,1,78.2
1,Senate,8,8282,6,43.5
1,Senate,8,9028,9,50.8
1,Senate,8,10272,6,75.1
1,Senate,9,507,6,84.6
1,Senate,9,1346,6,82.9
1,Senate,9,1536,6,97.9
1,Senate,9,2307,6,6.5
1,Senate,9,2936,1,85.4
1,Senate,9,2943,1,30.7
1,Senate,9,3128,6,73.8
1,Senate,9,3771,9,
1,Senate,9,3877,6,99.0
1,Senate,9,4333,6,96.6
1,Senate,9,4837,6,98.0
1,Senate,9,4998,1,84.1
1,Senate,9,5270,6,90.5
1,Senate,9,5449,9,71.7
1,Senate,9,5565,6,80.8
1,Senate,9,5891,1,42.2
1,Senate,9,6712,6,97.7
1,Senate,9,7231,6,10.0
1,Senate,9,7762,6,92.5
1,Senate,9,8282,1,34.9
1,Senate,9,9028,9,11.6
1,Senate,9,10272,1,53.2
1,Senate,10,507,6,90.9
1,Senate,10,1346,6,100.0
1,Senate,10,1536,6,99.1
1,Senate,10,2307,6,61.0
1,Senate,10,2936,6,55.9
1,Senate,10,2943,1,18.1
1,Senate,10,3128,6,96.5
1,Senate,10,3771,9,
1,Senate,10,3877,6,99.7
1,Senate,10,4333,6,99.5
1,Senate,10,4837,6,96.2
1,Senate,10,4998,6,63.7
1,Senate,10,5270,6,88.6
1,Senate,10,5449,9,58.6
1,Senate,10,5565,6,99.4
1,Senate,10,5891,1,99.2
1,Senate,10,6712,6,87.9
1,Senate,10,7231,9,62.9
1,Senate,10,7762,6,95.4
1,Senate,10,8282,1,29.4
1,Senate,10,9028,9,56.0
1,Senate,10,10272,1,88.4
1,Senate,11,507,6,85.2
1,Senate,11,1346,6,65.3
1,Senate,11,1536,6,76.4
1,Senate,11,2307,1,29.5
1,Senate,11,2936,6,87.1
1,Senate,11,2943,6,84.6
1,Senate,11,3128,9,33.8
1,Senate,11,3771,1,
1,Senate,11,3877,1,27.9
1,Senate,11,4333,6,78.0
1,Senate,11,4837,6,70.4
1,Senate,11,4998,6,37.1
1,Senate,11,5270,1,31.5
1,Senate,11,5449,9,25.6
1,Senate,11,5565,1,30.9
1,Senate,11,5891,9,36.4
1,Senate,11,6712,6,50.4
1,Senate,11,7231,6,43.6
1,Senate,11,7762,6,81.7
1,Senate,11,8282,1,66.9
1,Senate,11,9028,9,85.9
1,Senate,11,10272,6,87.6
1,Senate,12,507,6,100.0
1,Senate,12,1346,9,0.1
1,Senate,12,1536,6,100.0
1,Senate,12,2307,6,100.0
1,Senate,12,2936,6,100.0
1,Senate,12,2943,6,100.0
1,Senate,12,3128,9,0.0
1,Senate,12,3771,1,
1,Senate,12,3877,6,100.0
1,Senate,12,4333,6,99.9
1,Senate,12,4837,6,100.0
1,Senate,12,4998,6,100.0
1,Senate,12,5270,6,100.0
1,Senate,12,5449,9,6.6
1,Senate,12,5565,1,99.6
1,Senate,12,5891,9,0.0
1,Senate,12,6712,6,100.0
1,Senate,12,7231,6,100.0
1,Senate,12,7762,6,100.0
1,Senate,12,8282,9,100.0
1,Senate,12,9028,9,100.0
1,Senate,12,10272,6,99.9
1,Senate,13,507,9,12.5
1,Senate,13,1346,1,100.0
1,Senate,13,1536,6,56.4
1,Senate,13,2307,6,100.0
1,Senate,13,2936,6,100.0
1,Senate,13,2943,6,99.9
1,Senate,13,3128,9,100.0
1,Senate,13,3771,1,
1,Senate,13,3877,1,60.9
1,Senate,13,4333,1,89.1
1,Senate,13,4837,9,99.8
1,Senate,13,4998,6,100.0
1,Senate,13,5270,6,100.0
1,Senate,13,5449,9,100.0
1,Senate,13,5565,1,100.0
1,Senate,13,5891,9,100.0
1,Senate,13,6712,9,100.0
1,Senate,13,7231,6,100.0
1,Senate,13,7762,6,87.5
1,Senate,13,8282,6,100.0
1,Senate,13,9028,9,100.0
